Year,Province,Pathogen,Antibiotic,Hospital_ID,Samples_Tested,Resistant_Isolates,Resistance_Rate,Population,GDP_Per_Capita,Healthcare_Expenditure
2015,Punjab,E.coli,Ampicillin,H031,721,135,18.723994452149793,110000000,1649.6043852064759,2.6466530964244157
2016,Punjab,E.coli,Ampicillin,H015,867,147,16.955017301038062,110000000,1620.4009846318513,2.8607963579706848
2017,Punjab,E.coli,Ampicillin,H014,885,56,6.3276836158192085,110000000,1299.098962917924,3.860831486643292
2018,Punjab,E.coli,Ampicillin,H003,534,32,5.992509363295881,110000000,1656.8833777215332,3.3255825004307553
2019,Punjab,E.coli,Ampicillin,H042,993,162,16.314199395770395,110000000,1522.172626387328,3.634466456132941
2020,Punjab,E.coli,Ampicillin,H050,934,121,12.955032119914348,110000000,1595.5265674274415,3.3505084570497274
2021,Punjab,E.coli,Ampicillin,H043,462,129,27.92207792207792,110000000,1484.5790305640548,3.3340669834287837
2022,Punjab,E.coli,Ampicillin,H037,663,107,16.138763197586727,110000000,1571.066905092448,2.541144269402139
2023,Punjab,E.coli,Ampicillin,H014,802,270,33.66583541147132,110000000,1701.7351306043565,3.319118429091759
2024,Punjab,E.coli,Ampicillin,H025,264,131,49.621212121212125,110000000,1477.1919643040746,3.170462699374184
2015,Sindh,E.coli,Ampicillin,H026,465,128,27.526881720430108,48000000,1559.6875903196633,3.079415220185183
2016,Sindh,E.coli,Ampicillin,H027,117,13,11.11111111111111,48000000,1603.9186294656247,2.5267711362103
2017,Sindh,E.coli,Ampicillin,H005,780,94,12.051282051282051,48000000,1419.172271573916,3.668951636296697
2018,Sindh,E.coli,Ampicillin,H027,420,66,15.714285714285714,48000000,1261.3061041105539,2.5369446359109133
2019,Sindh,E.coli,Ampicillin,H028,906,77,8.49889624724062,48000000,1426.949233096093,3.3313420040067285
2020,Sindh,E.coli,Ampicillin,H009,882,279,31.63265306122449,48000000,1646.1186757776886,3.4385667801834643
2021,Sindh,E.coli,Ampicillin,H029,788,73,9.263959390862944,48000000,1545.6641491502523,3.094833849463612
2022,Sindh,E.coli,Ampicillin,H035,964,129,13.381742738589212,48000000,1377.8137571644038,3.450309742358513
2023,Sindh,E.coli,Ampicillin,H008,969,292,30.13415892672859,48000000,1359.413191024214,3.579193523270078
2024,Sindh,E.coli,Ampicillin,H026,523,142,27.151051625239003,48000000,1794.1764879506081,3.7525822134921327
2015,KPK,E.coli,Ampicillin,H007,557,97,17.41472172351885,35000000,1555.5214887019247,2.9940843557706103
2016,KPK,E.coli,Ampicillin,H042,927,83,8.95361380798274,35000000,1365.2848259545863,3.4717882676050067
2017,KPK,E.coli,Ampicillin,H009,445,34,7.640449438202247,35000000,1248.564806766808,3.387440078309737
2018,KPK,E.coli,Ampicillin,H019,629,155,24.6422893481717,35000000,1201.1644697282463,2.8753434998216107
2019,KPK,E.coli,Ampicillin,H036,552,127,23.007246376811594,35000000,1402.5023298338056,3.629182945820503
2020,KPK,E.coli,Ampicillin,H014,134,52,38.80597014925373,35000000,1748.9889329764992,2.8174672501627356
2021,KPK,E.coli,Ampicillin,H017,297,33,11.11111111111111,35000000,1693.3246669359505,3.365920217707753
2022,KPK,E.coli,Ampicillin,H043,153,18,11.76470588235294,35000000,1364.821413718164,3.6841924050822854
2023,KPK,E.coli,Ampicillin,H039,782,273,34.910485933503836,35000000,1483.9176995214075,2.588240505894646
2024,KPK,E.coli,Ampicillin,H012,863,376,43.56894553881808,35000000,1634.0357996989042,3.8899225551867858
2015,Balochistan,E.coli,Ampicillin,H015,172,21,12.209302325581394,12000000,1732.32432869263,3.207746912026778
2016,Balochistan,E.coli,Ampicillin,H032,377,78,20.689655172413794,12000000,1553.5793870687485,3.681692468933761
2017,Balochistan,E.coli,Ampicillin,H042,119,14,11.76470588235294,12000000,1504.0073395706713,3.240555193973705
2018,Balochistan,E.coli,Ampicillin,H045,274,83,30.29197080291971,12000000,1718.11732663773,3.378799782018177
2019,Balochistan,E.coli,Ampicillin,H007,213,45,21.12676056338028,12000000,1702.9445549938828,2.9973160170484334
2020,Balochistan,E.coli,Ampicillin,H009,780,180,23.076923076923077,12000000,1309.915417805314,3.2087438884191215
2021,Balochistan,E.coli,Ampicillin,H041,497,59,11.87122736418511,12000000,1575.5703871138394,3.4374646238284186
2022,Balochistan,E.coli,Ampicillin,H010,640,108,16.875,12000000,1270.3246311284602,3.9224226174410433
2023,Balochistan,E.coli,Ampicillin,H023,878,159,18.109339407744876,12000000,1371.9223789405078,3.6415742792887613
2024,Balochistan,E.coli,Ampicillin,H027,119,23,19.327731092436977,12000000,1713.9330103062093,2.5095353483920917
2015,Islamabad,E.coli,Ampicillin,H007,564,37,6.5602836879432624,2000000,1683.4009879734367,3.7939911079593003
2016,Islamabad,E.coli,Ampicillin,H027,335,51,15.223880597014924,2000000,1301.3330054003745,3.7594343065284193
2017,Islamabad,E.coli,Ampicillin,H032,278,36,12.949640287769784,2000000,1692.8577010519803,3.065558836213313
2018,Islamabad,E.coli,Ampicillin,H038,956,156,16.317991631799163,2000000,1237.531479774043,3.150117253768258
2019,Islamabad,E.coli,Ampicillin,H025,368,32,8.695652173913043,2000000,1298.9847663324326,3.0423947161762044
2020,Islamabad,E.coli,Ampicillin,H034,175,17,9.714285714285714,2000000,1669.0239006187767,2.694774782983586
2021,Islamabad,E.coli,Ampicillin,H029,934,384,41.113490364025694,2000000,1557.7734244521707,2.741631999379024
2022,Islamabad,E.coli,Ampicillin,H005,191,55,28.79581151832461,2000000,1484.3905066139996,3.6979130801046267
2023,Islamabad,E.coli,Ampicillin,H008,527,133,25.23719165085389,2000000,1759.284500638023,3.744674834306352
2024,Islamabad,E.coli,Ampicillin,H012,591,79,13.367174280879865,2000000,1793.1856739334762,2.745211446424946
2015,Punjab,K.pneumoniae,Ampicillin,H013,366,43,11.748633879781421,110000000,1539.7479684557766,3.417657437850721
2016,Punjab,K.pneumoniae,Ampicillin,H018,118,7,5.932203389830509,110000000,1580.6580323260278,3.4518686670344323
2017,Punjab,K.pneumoniae,Ampicillin,H033,110,24,21.818181818181817,110000000,1652.0251439418644,2.800997818703763
2018,Punjab,K.pneumoniae,Ampicillin,H027,162,60,37.03703703703704,110000000,1417.2056728508323,3.3603926619980484
2019,Punjab,K.pneumoniae,Ampicillin,H025,455,146,32.08791208791209,110000000,1747.2273118793964,3.6965508587891236
2020,Punjab,K.pneumoniae,Ampicillin,H038,505,90,17.82178217821782,110000000,1359.1614810749888,3.334215818089433
2021,Punjab,K.pneumoniae,Ampicillin,H021,254,27,10.62992125984252,110000000,1547.4471875466406,2.834443456027657
2022,Punjab,K.pneumoniae,Ampicillin,H015,357,136,38.095238095238095,110000000,1772.3807750735432,2.5480088748736307
2023,Punjab,K.pneumoniae,Ampicillin,H041,351,115,32.763532763532766,110000000,1226.4089233707637,3.536385765997693
2024,Punjab,K.pneumoniae,Ampicillin,H047,489,113,23.108384458077712,110000000,1267.3180794809014,3.346768660354428
2015,Sindh,K.pneumoniae,Ampicillin,H026,842,202,23.990498812351543,48000000,1454.936589114368,3.8975485315313563
2016,Sindh,K.pneumoniae,Ampicillin,H031,327,50,15.29051987767584,48000000,1638.8220692519099,2.966414608992636
2017,Sindh,K.pneumoniae,Ampicillin,H016,922,105,11.3882863340564,48000000,1677.0152411889285,3.1881230323342606
2018,Sindh,K.pneumoniae,Ampicillin,H030,605,60,9.917355371900827,48000000,1627.69978470169,2.861174971330911
2019,Sindh,K.pneumoniae,Ampicillin,H006,147,16,10.884353741496598,48000000,1293.3807430788875,3.7217998850392178
2020,Sindh,K.pneumoniae,Ampicillin,H043,481,106,22.03742203742204,48000000,1370.0328298844397,2.677422429434955
2021,Sindh,K.pneumoniae,Ampicillin,H008,866,150,17.321016166281755,48000000,1424.727502092719,2.9519865188049152
2022,Sindh,K.pneumoniae,Ampicillin,H022,767,135,17.60104302477184,48000000,1762.617722293362,2.6911217889282852
2023,Sindh,K.pneumoniae,Ampicillin,H022,896,143,15.959821428571427,48000000,1396.9573693815619,3.7237773230299354
2024,Sindh,K.pneumoniae,Ampicillin,H039,295,105,35.59322033898305,48000000,1336.400400660932,2.798330496647395
2015,KPK,K.pneumoniae,Ampicillin,H031,780,88,11.282051282051283,35000000,1205.8312389068305,3.391736410325393
2016,KPK,K.pneumoniae,Ampicillin,H048,488,97,19.87704918032787,35000000,1495.3394043724984,3.8406992410309613
2017,KPK,K.pneumoniae,Ampicillin,H017,723,75,10.37344398340249,35000000,1674.1399832535535,2.791295923292637
2018,KPK,K.pneumoniae,Ampicillin,H050,194,17,8.762886597938143,35000000,1590.512687433511,3.634786074515432
2019,KPK,K.pneumoniae,Ampicillin,H049,350,34,9.714285714285714,35000000,1296.87286647968,3.1302399430423975
2020,KPK,K.pneumoniae,Ampicillin,H034,718,165,22.98050139275766,35000000,1793.9482860267162,3.4124162858352065
2021,KPK,K.pneumoniae,Ampicillin,H004,979,185,18.896833503575078,35000000,1253.247645869851,3.809461227967404
2022,KPK,K.pneumoniae,Ampicillin,H013,236,39,16.52542372881356,35000000,1638.4637455455959,3.935445053386502
2023,KPK,K.pneumoniae,Ampicillin,H005,438,136,31.05022831050228,35000000,1341.8006247840822,2.830252851592377
2024,KPK,K.pneumoniae,Ampicillin,H025,255,65,25.49019607843137,35000000,1774.9937804415822,3.9197917975252494
2015,Balochistan,K.pneumoniae,Ampicillin,H022,882,77,8.73015873015873,12000000,1378.4170628059655,3.117812604061328
2016,Balochistan,K.pneumoniae,Ampicillin,H025,671,38,5.663189269746647,12000000,1339.8807759862393,3.7250899664359167
2017,Balochistan,K.pneumoniae,Ampicillin,H032,814,166,20.39312039312039,12000000,1567.4480425659567,2.831226886017248
2018,Balochistan,K.pneumoniae,Ampicillin,H046,320,22,6.875000000000001,12000000,1224.2724776733667,2.6774755204096437
2019,Balochistan,K.pneumoniae,Ampicillin,H025,116,11,9.482758620689655,12000000,1235.3758646640927,3.4692526643630117
2020,Balochistan,K.pneumoniae,Ampicillin,H023,544,151,27.75735294117647,12000000,1687.8565908875316,3.8861237722449005
2021,Balochistan,K.pneumoniae,Ampicillin,H035,652,203,31.13496932515337,12000000,1278.9606881327927,3.5254212531726807
2022,Balochistan,K.pneumoniae,Ampicillin,H040,636,112,17.61006289308176,12000000,1231.0276448260993,3.1298632990801707
2023,Balochistan,K.pneumoniae,Ampicillin,H048,338,103,30.473372781065088,12000000,1375.5811491049826,3.2871818797430024
2024,Balochistan,K.pneumoniae,Ampicillin,H030,431,89,20.649651972157773,12000000,1253.8583375047892,3.1061950348084792
2015,Islamabad,K.pneumoniae,Ampicillin,H012,609,98,16.091954022988507,2000000,1509.3215779401362,3.0383293936029077
2016,Islamabad,K.pneumoniae,Ampicillin,H031,886,143,16.13995485327314,2000000,1637.594481697306,3.3908216583076864
2017,Islamabad,K.pneumoniae,Ampicillin,H046,151,47,31.125827814569533,2000000,1712.0663135312498,2.5434020195389166
2018,Islamabad,K.pneumoniae,Ampicillin,H030,810,167,20.617283950617285,2000000,1486.6559257730842,3.287637928267941
2019,Islamabad,K.pneumoniae,Ampicillin,H035,366,64,17.48633879781421,2000000,1379.2924641631544,3.1086475594202057
2020,Islamabad,K.pneumoniae,Ampicillin,H014,754,83,11.007957559681698,2000000,1680.904689291492,2.9660431625088677
2021,Islamabad,K.pneumoniae,Ampicillin,H029,300,59,19.666666666666664,2000000,1573.257514508441,3.812543737818487
2022,Islamabad,K.pneumoniae,Ampicillin,H032,605,116,19.173553719008265,2000000,1754.457627888769,3.629930288880132
